Bridge_structure_number,Stream_name,Location,Date,Side_of_bridge,Northing_iFT,Easting_iFT,Elevation_iFT,Distance_iFT
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3959.23,-7
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3956.16,-0.85
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3951.75,4.51
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3949.62,10.45
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.64,15
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3942.62,20
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3940.12,25
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3940.02,30
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3940.22,35
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3940.22,74.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3939.92,79.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3939.52,84.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3939.82,89.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3939.82,94.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3940.32,99.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3940.22,104.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3941.12,109.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3941.42,114.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3942.12,119.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3942.62,124.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3943.52,129.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3944.02,134.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3944.82,141.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3944.81,141.14
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3945.68,143.61
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.56,146.56
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.6,154.68
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.62,161.17
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.84,165.57
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.92,168.76
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3946.99,172.41
P00003 101+0.8001,Two Medicine River,"11 miles southeast of Browning, Montana",10/28/2014,Upstream,-9999,-9999,3947.34,181.88
